"It do go down","RaShaun Grey","5 years","24 seconds","22,354,385"
"One of the Best Dodgeball Dodges Ever!!!","Timmy Le","2 years","20 seconds","8,721,969"
"Amazing Cakes That Look Like Everyday Objects","SSSniperWolf","1 month","8 minutes, 2 seconds","3,430,788"
"Bear and Man Spook Each Other","NineCaribou Productions","3 years","21 seconds","13,841,145"
"SEASON 8 OOF","Fe4RLess","1 year","11 minutes, 47 seconds","27,650,732"
"Funny Spongebob Scenes #1","maltesephillies15","8 years","14 minutes, 16 seconds","2,668,844"
"Kid beat boxes while teacher reads Dr. Seuss! (Not Original)","Its Devin","5 years","38 seconds","20,711,040"
"WandaVision | Official Trailer | Disney+","Marvel Entertainment","2 days","1 minute, 21 seconds","11,261,679"
"Ozuna x Daddy Yankee - No Se Da Cuenta (Video Oficial)","Ozuna","6 hours","4 minutes, 3 seconds","1,138,447"
"Anderson .Paak - CUT EM IN feat. Rick Ross (Official Video)","Anderson Paak","7 hours","5 minutes, 11 seconds","80,320"
"The Try Guys RETRY Baking Cookies Without A Recipe","The Try Guys","6 hours","20 minutes","315,540"
"Attack on Titan Final Season | OFFICIAL TRAILER","Crunchyroll Collection","1 day","2 minutes, 27 seconds","913,168"
"A Blown Ramp Truck Road Trip to Get a 350 SBC-Swapped Mini Truck! Finnegan's Garage Ep.115","Finnegan's Garage","10 hours","16 minutes","110,292"
"I Gave My 40,000,000th Subscriber 40 Cars","MrBeast","4 days","17 minutes","25,006,519"
"No Man's Sky Origins Launch Trailer","HelloGamesTube","8 hours","1 minute, 55 seconds","140,630"
"Queen Naija - Pack Lite (Alternative Video)","Queen Naija","23 hours","3 minutes, 11 seconds","312,971"
"BTS: Tiny Desk (Home) Concert","NPR Music","2 days","14 minutes, 7 seconds","9,532,460"
"Highlights | Luton 0-3 Manchester United | Mata, Rashford &amp; Greenwood seal Carabao Cup win at Luton","Manchester United","21 hours","4 minutes","1,481,286"
"BTS (방탄소년단) Speech at the 75th UN General Assembly","BANGTANTV","7 hours","7 minutes, 12 seconds","2,896,909"
"You got cheese Original Video","Tesarion TV","11 months","23 seconds","11,897,299"
"German Shepherd suddenly realizes he is at the vet","xDBA3x","6 years","28 seconds","22,913,240"
"Deep Focus Music For Studying - Concentration Music for Working and Reading","Quiet Quest - Study Music","1 month","3 hours, 12 minutes","288,438"
"Real MINIATURE Food and Tiny Cooking You Can Eat","SSSniperWolf","5 months","11 minutes, 3 seconds","7,824,666"
"Billie Eilish - Ocean Eyes (Dance Performance Video)","Billie Eilish","3 years","3 minutes, 21 seconds","62,082,598"
"Chicken Hugs Boy After Recognizing Him with New Haircut | The Dodo","The Dodo","3 years","31 seconds","3,681,884"
"Minecraft Speedrunner VS 4 Hunters","Dream","2 weeks","48 minutes","23,888,978"
"Acoustic Rock Songs 80s 90s 2000s | Best Rock Music Ever Playlist","Acoustic Music Collection","1 month","1 hour, 35 minutes","692,976"
"6LACK Live From The Ledge","6LACK Streamed","3 weeks","39 minutes","812,371"
"Nas - &quot;Ultra Black&quot; (Official Video)","Mass Appeal","4 weeks","3 minutes, 22 seconds","2,860,853"
"Beyoncé, Blue Ivy, SAINt JHN, WizKid - BROWN SKIN GIRL (Official Video)","Beyoncé","4 weeks","6 minutes, 12 seconds","15,317,459"
"6LACK ft. Lil Baby - Know My Rights (Official Visualizer)","6LACK","1 month","3 minutes, 13 seconds","1,210,341"
"Pharrell Williams - Entrepreneur (Official Video) ft. JAY-Z","Pharrell Williams","1 month","5 minutes, 30 seconds","8,563,460"
"H.E.R. Performs &quot;I Can't Breathe&quot; &amp; &quot;Fate&quot; – Live | 2020 Roots Picnic Virtual Experience","The Roots","2 months","11 minutes, 42 seconds","2,121,897"
"DaBaby - ROCKSTAR ft. Roddy Ricch (BLM Remix) ft. Roddy Ricch","DaBaby","3 months","3 minutes, 26 seconds","10,350,297"
"Public Enemy Is Joined By Nas, Black Thought &amp; More For Rendition of Fight The Power | BET Awards 20","BETNetworks","2 months","5 minutes, 47 seconds","1,222,973"
"Kiana Ledé - &quot;Dear Mr. President&quot;","Kiana Ledé","3 months","4 minutes, 52 seconds","466,607"
"Dax - BLACK LIVES MATTER (Official Music Video)","Dax","3 months","3 minutes, 20 seconds","3,972,206"
"Lil Baby - The Bigger Picture (Official Music Video)","Lil Baby Official 4PF","3 months","4 minutes, 17 seconds","79,368,393"
"Usher - I Cry (Official Video)","Usher","2 months","3 minutes, 47 seconds","9,433,652"
"Why Asians Are Good At Math - Jimmy O. Yang","Jimmy O. Yang","2 months","2 minutes, 38 seconds","4,184,797"
"Apple Be Like","Kyle Exum","1 year","3 minutes, 30 seconds","12,155,343"
"Baby jaguar's very first swim - BBC","BBC","2 years","1 minute, 19 seconds","13,228,913"
"World's First Automatic Strike Bowling Ball","Mark Rober","10 months","7 minutes, 32 seconds","25,906,474"
"U.S. coronavirus death toll passes 200,000 as new cases rise","CBS This Morning","9 hours","4 minutes, 29 seconds","83,462"
"U.S. coronavirus death toll surpasses 200,000","CBS Evening News","22 hours","4 minutes, 2 seconds","143,540"
"Dr. Anthony Fauci answers questions about coronavirus vaccine","CBS News","3 hours","2 minutes, 53 seconds","2,220"
"Growing Concern As Coronavirus Cases Surge Across The Country | NBC Nightly News","NBC News","21 hours","2 minutes, 50 seconds","184,607"
"Coronavirus: 6 months later","ABC News","6 hours","7 minutes, 15 seconds","9,606"
"WATCH: Fauci and Redfield testify in Senate hearing on U.S. coronavirus response","Washington Post Streamed","2 hours","4 hours, 44 minutes","116,479"
"Coronavirus vaccine timeline: Dr. Fauci talks COVID-19 vaccine development on Capitol Hill","Yahoo Finance","50 minutes","3 minutes, 7 seconds","434"
"Everything That Happened Today in the Fight Against Coronavirus | NBC New York","NBC New York","20 hours","2 minutes, 57 seconds","3,499"
"Jim Cramer on Johnson &amp; Johnson entering phase 3 trial for coronavirus vaccine","CNBC Television","7 hours","4 minutes, 22 seconds","4,697"
"U.S. Deaths From Coronavirus Top 200,000","Bloomberg Markets and Finance","21 hours","59 seconds","5,054"
